locationId,continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,provinceShortName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment
955001,亚洲,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,阿富汗,234,239,0,0,5,
954005,亚洲,Asia,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,Uzbekistan,乌兹别克斯坦,167,181,0,12,2,
952007,亚洲,Asia,马来西亚,Malaysia,马来西亚,Malaysia,马来西亚,2299,3116,0,767,50,
951004,亚洲,Asia,韩国,Korea,韩国,Korea,韩国,4240,9976,0,5567,169,
953003,亚洲,Asia,印度,India,印度,India,印度,1860,2069,0,156,53,
953007,亚洲,Asia,斯里兰卡,SriLanka,斯里兰卡,SriLanka,斯里兰卡,126,146,0,18,2,
955008,亚洲,Asia,伊拉克,Iraq,伊拉克,Iraq,伊拉克,516,772,0,202,54,
953006,亚洲,Asia,巴基斯坦,Pakistan,巴基斯坦,Pakistan,巴基斯坦,2122,2238,0,85,31,
955017,亚洲,Asia,叙利亚,Syria,叙利亚,Syria,叙利亚,14,16,0,0,2,
955003,亚洲,Asia,阿塞拜疆,Azerbaijan,阿塞拜疆,Azerbaijan,阿塞拜疆,369,400,0,26,5,
955015,亚洲,Asia,卡塔尔,Qatar,卡塔尔,Qatar,卡塔尔,762,835,0,71,2,
955013,亚洲,Asia,阿曼,Oman,阿曼,Oman,阿曼,173,231,0,57,1,
952001,亚洲,Asia,缅甸,Burma,缅甸,Burma,缅甸,19,20,0,0,1,
954001,亚洲,Asia,哈萨克斯坦,Kazakhstan,哈萨克斯坦,Kazakhstan,哈萨克斯坦,322,348,0,24,2,
955009,亚洲,Asia,以色列,Israel,以色列,Israel,以色列,6101,6360,0,226,33,
952011,亚洲,Asia,越南,Vietnam,越南,Vietnam,越南,152,227,0,75,0,
952009,亚洲,Asia,新加坡,Singapore,新加坡,Singapore,新加坡,780,1049,0,266,3,
955018,亚洲,Asia,土耳其,Turkey,土耳其,Turkey,土耳其,15069,15679,0,333,277,
955014,亚洲,Asia,巴勒斯坦,Palestine,巴勒斯坦,Palestine,巴勒斯坦,115,134,0,18,1,
952002,亚洲,Asia,文莱,Brunei,文莱,Brunei,文莱,76,133,0,56,1,
955004,亚洲,Asia,巴林,Bahrain,巴林,Bahrain,巴林,290,635,0,341,4,
952003,亚洲,Asia,柬埔寨,Kampuchea (Cambodia ),柬埔寨,Kampuchea (Cambodia ),柬埔寨,88,109,0,21,0,
952010,亚洲,Asia,泰国,Thailand,泰国,Thailand,泰国,1355,1875,0,505,15,
955011,亚洲,Asia,科威特,Kuwait,科威特,Kuwait,科威特,261,342,0,81,0,
955006,亚洲,Asia,格鲁吉亚,Georgia,格鲁吉亚,Georgia,格鲁吉亚,104,130,0,26,0,
955002,亚洲,Asia,亚美尼亚,Armenia,亚美尼亚,Armenia,亚美尼亚,626,663,0,33,4,
954002,亚洲,Asia,吉尔吉斯斯坦,,吉尔吉斯斯坦,,吉尔吉斯斯坦,116,116,0,0,0,
955010,亚洲,Asia,约旦,Jordan,约旦,Jordan,约旦,237,278,0,36,5,
955019,亚洲,Asia,阿联酋,United Arab Emirates,阿联酋,United Arab Emirates,阿联酋,745,814,0,61,8,
955016,亚洲,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,1536,1885,0,328,21,
952005,亚洲,Asia,印度尼西亚,Indonesia,印度尼西亚,Indonesia,印度尼西亚,1556,1790,0,64,170,
210000,亚洲,Asia,中国,China,辽宁省,Liaoning,辽宁,15,141,0,124,2,现存确诊病例均为境外输入病例
955012,亚洲,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,黎巴嫩,435,494,0,43,16,
955005,亚洲,Asia,塞浦路斯,Cyprus,塞浦路斯,Cyprus,塞浦路斯,311,320,0,0,9,
951001,亚洲,Asia,中国,China,中国,China,中国,2835,82772,0,76610,3327,
953005,亚洲,Asia,尼泊尔,Nepal,尼泊尔,Nepal,尼泊尔,5,6,0,1,0,
953001,亚洲,Asia,孟加拉国,Bangladesh,孟加拉国,Bangladesh,孟加拉国,25,56,0,25,6,
955007,亚洲,Asia,伊朗,Iran,伊朗,Iran,伊朗,30597,50468,0,16711,3160,
952008,亚洲,Asia,菲律宾,Philippines,菲律宾,Philippines,菲律宾,2475,2633,0,51,107,
951002,亚洲,Asia,日本,Japan,日本,Japan,日本,2051,2526,0,404,71,
710000,亚洲,Asia,中国,China,台湾,Taiwan,台湾,289,339,10,45,5,
810000,亚洲,Asia,中国,China,香港,Hong Kong,香港,651,802,37,147,4,
420000,亚洲,Asia,中国,China,湖北省,Hubei,湖北,1132,67802,0,63471,3199,4.2无症状感染者721例
952006,亚洲,Asia,老挝,Laos,老挝,Laos,老挝,9,9,0,0,0,
953002,亚洲,Asia,不丹,Kingdom of Bhutan,不丹,Kingdom of Bhutan,不丹,4,4,0,0,0,
0,亚洲,Asia,蒙古,Mongolia,蒙古,Mongolia,蒙古,12,12,0,0,0,
953004,亚洲,Asia,马尔代夫,Maldives,马尔代夫,Maldives,马尔代夫,5,18,0,13,0,
110000,亚洲,Asia,中国,China,北京市,Beijing,北京,150,582,164,424,8,北京卫健委未明确大部分治愈与死亡病例的分区归属，因此北京市下辖分区的现存确诊暂无法获取。
350000,亚洲,Asia,中国,China,福建省,Fujian,福建,45,345,3,299,1,
430000,亚洲,Asia,中国,China,湖南省,Hunan,湖南,1,1019,0,1014,4,
440000,亚洲,Asia,中国,China,广东省,Guangdong,广东,134,1507,10,1365,8,深圳：确诊病例含33例境外输入病例；广州：确诊病例含83例境外输入病例；中山：确诊病例含2例境外输入病例；东莞：确诊病例含1例境外输入病例；佛山：确诊病例含8例境外输入病例；梅州：确诊病例含1例境外输入病例；肇庆：确诊病例含1例境外输入病例；珠海：确诊病例含5例境外输入病例；揭阳：确诊病例含1例境外输入病例；湛江：确诊病例含2例境外输入病例；潮州：确诊病例含1例境外输入病例。
330000,亚洲,Asia,中国,China,浙江省,Zhejiang,浙江,29,1258,3,1228,1,2月10日通报核减的12例在浙江省治愈的外省病例，根据国家最新要求重新纳入累计病例。
320000,亚洲,Asia,中国,China,江苏省,Jiangsu,江苏,16,647,3,631,0,
510000,亚洲,Asia,中国,China,四川省,Sichuan,四川,14,554,13,537,3,成都市包含所有境外输入病例13例
370000,亚洲,Asia,中国,China,山东省,Shandong,山东,15,775,14,753,7,
310000,亚洲,Asia,中国,China,上海市,Shanghai,上海,173,522,19,343,6,因未公布分区死亡和治愈，仅展示累计确诊和现存确诊
450000,亚洲,Asia,中国,China,广西壮族自治区,Guangxi,广西,0,254,0,252,2,
130000,亚洲,Asia,中国,China,河北省,Hebei,河北,9,325,0,310,6,
230000,亚洲,Asia,中国,China,黑龙江省,Heilongjiang,黑龙江,6,488,0,469,13,
150000,亚洲,Asia,中国,China,内蒙古自治区,Neimenggu,内蒙古,42,117,0,74,1,
530000,亚洲,Asia,中国,China,云南省,Yunnan,云南,9,183,0,172,2,
620000,亚洲,Asia,中国,China,甘肃省,Gansu,甘肃,9,138,0,127,2,
952004,亚洲,Asia,东帝汶,,东帝汶,,东帝汶,1,1,0,0,0,
120000,亚洲,Asia,中国,China,天津市,Tianjin,天津,38,176,0,135,3,
610000,亚洲,Asia,中国,China,陕西省,Shaanxi,陕西,10,255,1,242,3,
140000,亚洲,Asia,中国,China,山西省,Shanxi,山西,4,137,4,133,0,
820000,亚洲,Asia,中国,China,澳门,Macau,澳门,31,41,9,10,0,确诊病例中含9例境外输入病例
360000,亚洲,Asia,中国,China,江西省,Jiangxi,江西,1,937,0,935,1,
410000,亚洲,Asia,中国,China,河南省,Henan,河南,3,1276,0,1251,22,
220000,亚洲,Asia,中国,China,吉林省,Jilin,吉林,5,98,2,92,1,
500000,亚洲,Asia,中国,China,重庆市,Chongqing,重庆,3,579,1,570,6,
460000,亚洲,Asia,中国,China,海南省,Hainan,海南,-6,168,0,168,6,
520000,亚洲,Asia,中国,China,贵州省,Guizhou,贵州,0,146,0,144,2,3月17日贵阳市新增1例境外输入无症状感染者
640000,亚洲,Asia,中国,China,宁夏回族自治区,Ningxia,宁夏,0,75,0,75,0,
650000,亚洲,Asia,中国,China,新疆维吾尔自治区,Xinjiang,新疆,0,76,0,73,3,
340000,亚洲,Asia,中国,China,安徽省,Anhui,安徽,0,990,0,984,6,
630000,亚洲,Asia,中国,China,青海省,Qinghai,青海,0,18,0,18,0,
540000,亚洲,Asia,中国,China,西藏自治区,Xizang,西藏,0,1,0,1,0,
