locationId,continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,provinceShortName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment
0,北美洲,North America,马提尼克,Martinique,马提尼克,Martinique,马提尼克,117,119,0,0,2,
972002,北美洲,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,哥斯达黎加,345,347,0,0,2,
974004,北美洲,North America,古巴,Cuba,古巴,Cuba,古巴,180,186,0,0,6,
971001,北美洲,North America,加拿大,Canada,加拿大,Canada,加拿大,8402,10121,0,1592,127,
974006,北美洲,North America,多米尼加,Dominican Republic,多米尼加,Dominican Republic,多米尼加,1058,1109,0,0,51,
972005,北美洲,North America,洪都拉斯,Honduras,洪都拉斯,Honduras,洪都拉斯,136,139,0,0,3,
0,北美洲,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,波多黎各,231,239,0,0,8,
971003,北美洲,North America,墨西哥,Mexico,墨西哥,Mexico,墨西哥,1340,1378,0,1,37,
972007,北美洲,North America,巴拿马,Panama,巴拿马,Panama,巴拿马,961,989,0,4,24,
971002,北美洲,North America,美国,United States of America,美国,United States of America,美国,202913,216722,0,8672,5137,
0,北美洲,North America,瓜德罗普岛,,瓜德罗普岛,,瓜德罗普岛,109,114,0,0,5,
0,北美洲,North America,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,,特克斯和凯科斯群岛,5,5,0,0,0,
974003,北美洲,North America,巴巴多斯,Barbados,巴巴多斯,Barbados,巴巴多斯,33,33,0,0,0,
974002,北美洲,North America,巴哈马,Bahamas,巴哈马,Bahamas,巴哈马,14,14,0,0,0,
0,北美洲,North America,库拉索岛,,库拉索岛,,库拉索岛,10,11,0,0,1,
0,北美洲,North America,蒙特塞拉特,,蒙特塞拉特,,蒙特塞拉特,5,5,0,0,0,
974005,北美洲,North America,多米尼克,,多米尼克,,多米尼克,11,11,0,0,0,
972004,北美洲,North America,危地马拉,Guatemala,危地马拉,Guatemala,危地马拉,35,36,0,0,1,
974013,北美洲,North America,特立尼达和多巴哥,Trinidad and Tobago,特立尼达和多巴哥,Trinidad and Tobago,特立尼达和多巴哥,82,85,0,0,3,
0,北美洲,North America,美属维尔京群岛,,美属维尔京群岛,,美属维尔京群岛,30,30,0,0,0,
0,北美洲,North America,格林那达,,格林那达,,格林那达,9,9,0,0,0,
0,北美洲,North America,荷属圣马丁,,荷属圣马丁,,荷属圣马丁,6,6,0,0,0,
974009,北美洲,North America,牙买加,Jamaica,牙买加,Jamaica,牙买加,35,36,0,0,1,
0,北美洲,North America,圣巴泰勒米岛,,圣巴泰勒米岛,,圣巴泰勒米岛,6,6,0,0,0,
0,北美洲,North America,阿鲁巴,,阿鲁巴,,阿鲁巴,55,55,0,0,0,
0,北美洲,North America,安圭拉,,安圭拉,,安圭拉,2,2,0,0,0,
0,北美洲,North America,圣马丁岛,Sint Maarten,圣马丁岛,Sint Maarten,圣马丁岛,16,18,0,0,2,
974011,北美洲,North America,圣卢西亚,St.Lucia,圣卢西亚,St.Lucia,圣卢西亚,9,9,0,0,0,
0,北美洲,North America,格陵兰,,格陵兰,,格陵兰,10,10,0,0,0,
0,北美洲,North America,开曼群岛,Cayman Is,开曼群岛,Cayman Is,开曼群岛,11,12,0,0,1,
0,北美洲,North America,圣其茨和尼维斯,,圣其茨和尼维斯,,圣其茨和尼维斯,8,8,0,0,0,
974001,北美洲,North America,安提瓜和巴布达,Antigua and Barbuda,安提瓜和巴布达,Antigua and Barbuda,安提瓜和巴布达,7,7,0,0,0,
972003,北美洲,North America,萨尔瓦多,El Salvador,萨尔瓦多,El Salvador,萨尔瓦多,30,30,0,0,0,
0,北美洲,North America,百慕大,,百慕大,,百慕大,27,27,0,0,0,
0,北美洲,North America,英属维尔京群岛,,英属维尔京群岛,,英属维尔京群岛,3,3,0,0,0,
974008,北美洲,North America,海地,Haiti,海地,Haiti,海地,15,15,0,0,0,
972001,北美洲,North America,伯利兹,Belize,伯利兹,Belize,伯利兹,3,3,0,0,0,
972006,北美洲,North America,尼加拉瓜,Nicaragua,尼加拉瓜,Nicaragua,尼加拉瓜,3,4,0,0,1,
974012,北美洲,North America,圣文森特和格林纳丁斯,Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,1,1,0,0,0,
0,北美洲,North America,圣巴泰勒米,Saint Barthelemy,圣巴泰勒米,Saint Barthelemy,圣巴泰勒米,3,3,0,0,0,
