locationId,continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,provinceShortName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment
962003,欧洲,Europe,冰岛,Iceland,冰岛,Iceland,冰岛,982,1220,0,236,2,
965007,欧洲,Europe,希腊,Greece,希腊,Greece,希腊,1346,1415,0,19,50,
964006,欧洲,Europe,俄罗斯,Russia,俄罗斯,Russia,俄罗斯,3283,3548,0,235,30,
965002,欧洲,Europe,安道尔,Andorra,安道尔,Andorra,安道尔,365,390,0,11,14,
964001,欧洲,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,白俄罗斯,204,254,0,46,4,
961002,欧洲,Europe,法国,France,法国,France,法国,42022,56989,0,10935,4032,
965012,欧洲,Europe,圣马力诺,San Marino,圣马力诺,San Marino,圣马力诺,214,242,0,2,26,
963001,欧洲,Europe,奥地利,Austria,奥地利,Austria,奥地利,8900,10482,0,1436,146,
964005,欧洲,Europe,摩尔多瓦,Moldova,摩尔多瓦,Moldova,摩尔多瓦,396,423,0,22,5,
0,欧洲,Europe,法罗群岛,Faroe,法罗群岛,Faroe,法罗群岛,169,169,0,0,0,
963003,欧洲,Europe,德国,Germany,德国,Germany,德国,64169,73522,0,8481,872,
965019,欧洲,Europe,马耳他,Malta,马耳他,Malta,马耳他,169,169,0,0,0,
965018,欧洲,Europe,黑山,,黑山,,黑山,107,109,0,0,2,
962002,欧洲,Europe,芬兰,Finland,芬兰,Finland,芬兰,1419,1446,0,10,17,
965004,欧洲,Europe,保加利亚,Bulgaria,保加利亚,Bulgaria,保加利亚,438,449,0,3,8,
965014,欧洲,Europe,斯洛文尼亚,Slovenia,斯洛文尼亚,Slovenia,斯洛文尼亚,799,814,0,0,15,
961007,欧洲,Europe,英国,United Kingdom,英国,United Kingdom,英国,30662,33718,0,135,2921,
962004,欧洲,Europe,挪威,Norway,挪威,Norway,挪威,4804,4848,0,0,44,
963002,欧洲,Europe,捷克,Czech Republic,捷克,Czech Republic,捷克,3408,3508,0,61,39,
964007,欧洲,Europe,乌克兰,Ukraine,乌克兰,Ukraine,乌克兰,771,804,0,13,20,
965005,欧洲,Europe,克罗地亚,Croatia,克罗地亚,Croatia,克罗地亚,794,867,0,67,6,
961003,欧洲,Europe,爱尔兰,Ireland,爱尔兰,Ireland,爱尔兰,3362,3447,0,0,85,
965010,欧洲,Europe,葡萄牙,Portugal,葡萄牙,Portugal,葡萄牙,8803,9034,0,22,209,
961004,欧洲,Europe,卢森堡,Luxembourg,卢森堡,Luxembourg,卢森堡,2290,2319,0,0,29,
963006,欧洲,Europe,波兰,Poland,波兰,Poland,波兰,2498,2554,0,13,43,
964003,欧洲,Europe,拉脱维亚,Latvia,拉脱维亚,Latvia,拉脱维亚,446,446,0,0,0,
964004,欧洲,Europe,立陶宛,Lithuania,立陶宛,Lithuania,立陶宛,572,581,0,1,8,
963007,欧洲,Europe,斯洛伐克,Slovakia,斯洛伐克,Slovakia,斯洛伐克,422,426,0,3,1,
963008,欧洲,Europe,瑞士,Switzerland,瑞士,Switzerland,瑞士,16012,18267,0,1823,432,
965013,欧洲,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,塞尔维亚,1037,1060,0,0,23,
0,欧洲,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,北马其顿,319,329,0,1,9,
965001,欧洲,Europe,阿尔巴尼亚,Albania,阿尔巴尼亚,Albania,阿尔巴尼亚,251,277,0,10,16,
961006,欧洲,Europe,荷兰,Netherlands,荷兰,Netherlands,荷兰,10404,14697,0,2954,1339,
965015,欧洲,Europe,西班牙,Spain,西班牙,Spain,西班牙,77588,110238,0,22647,10003,
965003,欧洲,Europe,波黑,Bosnia and Herzegovina,波黑,Bosnia and Herzegovina,波黑,384,413,0,17,12,
963004,欧洲,Europe,匈牙利,Hungary,匈牙利,Hungary,匈牙利,522,585,0,42,21,
962001,欧洲,Europe,丹麦,Denmark,丹麦,Denmark,丹麦,2109,3107,0,894,104,
965011,欧洲,Europe,罗马尼亚,Romania,罗马尼亚,Romania,罗马尼亚,1956,2245,0,220,69,
964002,欧洲,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,爱沙尼亚,754,779,0,20,5,
961001,欧洲,Europe,比利时,Belgium,比利时,Belgium,比利时,12205,15348,0,2132,1011,
0,欧洲,Europe,泽西岛,Bailiwick of Jersey,泽西岛,Bailiwick of Jersey,泽西岛,61,63,0,0,2,
965008,欧洲,Europe,意大利,Italy,意大利,Italy,意大利,80572,110574,0,16847,13155,
0,欧洲,Europe,马恩岛,,马恩岛,,马恩岛,52,52,0,0,0,
965017,欧洲,Europe,梵蒂冈,Status Civitatis Vaticanae,梵蒂冈,Status Civitatis Vaticanae,梵蒂冈,6,6,0,0,0,
962005,欧洲,Europe,瑞典,Sweden,瑞典,Sweden,瑞典,4691,4947,0,17,239,
0,欧洲,Europe,直布罗陀,Gibraltar,直布罗陀,Gibraltar,直布罗陀,69,69,0,0,0,
0,欧洲,Europe,根西岛,Guernsey,根西岛,Guernsey,根西岛,59,60,0,0,1,
963005,欧洲,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,列支敦士登,68,68,0,0,0,
961005,欧洲,Europe,摩纳哥,Monaco,摩纳哥,Monaco,摩纳哥,53,55,0,1,1,
0,欧洲,Europe,科索沃,,科索沃,,科索沃,30,31,0,0,1,
0,欧洲,Europe,大不列颠及北爱尔兰联合王国,United Kingdom of Great Britain and Ireland,大不列颠及北爱尔兰联合王国,United Kingdom of Great Britain and Ireland,大不列颠及北爱尔兰联合王国,12,20,0,8,0,
0,欧洲,Europe,英国（含北爱尔兰）,United Kingdom,英国（含北爱尔兰）,United Kingdom,英国（含北爱尔兰）,12,20,0,8,0,
0,欧洲,Europe,北爱尔兰,Northern Ireland,北爱尔兰,Northern Ireland,北爱尔兰,1,1,0,0,0,
