locationId,continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,provinceShortName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment
0,非洲,Africa,留尼旺,Reunion,留尼旺,Reunion,留尼旺,247,247,0,0,0,
984014,非洲,Africa,毛里求斯,Mauritius,毛里求斯,Mauritius,毛里求斯,155,161,0,0,6,
982004,非洲,Africa,科特迪瓦,Ivory Coast,科特迪瓦,Ivory Coast,科特迪瓦,180,190,0,9,1,
982013,非洲,Africa,尼日利亚,Nigeria,尼日利亚,Nigeria,尼日利亚,163,174,0,9,2,
982011,非洲,Africa,尼日尔,Niger,尼日尔,Niger,尼日尔,69,74,0,0,5,
0,非洲,Africa,几内亚,Guinea,几内亚,Guinea,几内亚,51,52,0,1,0,
985005,非洲,Africa,肯尼亚,Kenya,肯尼亚,Kenya,肯尼亚,104,110,0,3,3,
982006,非洲,Africa,加纳,Ghana,加纳,Ghana,加纳,187,195,0,3,5,
982014,非洲,Africa,塞内加尔,Senegal,塞内加尔,Senegal,塞内加尔,139,195,0,55,1,
981002,非洲,Africa,埃及,Egypt,埃及,Egypt,埃及,548,779,0,179,52,
983001,非洲,Africa,喀麦隆,Cameroon,喀麦隆,Cameroon,喀麦隆,267,284,0,10,7,
982002,非洲,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,布基纳法索,222,288,0,50,16,
982016,非洲,Africa,多哥,Togo,多哥,Togo,多哥,20,39,0,17,2,
984011,非洲,Africa,南非,South Africa,南非,South Africa,南非,1374,1380,0,1,5,
0,非洲,Africa,马约特,,马约特,,马约特,101,101,0,0,0,
985002,非洲,Africa,吉布提,Djibouti,吉布提,Djibouti,吉布提,40,40,0,0,0,
0,非洲,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,刚果（金）,109,123,0,3,11,
981006,非洲,Africa,突尼斯,Tunisia,突尼斯,Tunisia,突尼斯,411,423,0,0,12,
981004,非洲,Africa,摩洛哥,Morocco,摩洛哥,Morocco,摩洛哥,608,676,0,29,39,
0,非洲,Africa,赞比亚共和国,,赞比亚共和国,,赞比亚共和国,38,39,0,0,1,
985004,非洲,Africa,埃塞俄比亚,Ethiopia,埃塞俄比亚,Ethiopia,埃塞俄比亚,27,29,0,2,0,
982012,非洲,Africa,毛里塔尼亚,The Islamic Republic of Mauritania,毛里塔尼亚,The Islamic Republic of Mauritania,毛里塔尼亚,3,6,0,2,1,
983004,非洲,Africa,加蓬,Gabon,加蓬,Gabon,加蓬,17,18,0,0,1,
984010,非洲,Africa,斯威士兰,Swaziland,斯威士兰,Swaziland,斯威士兰,9,9,0,0,0,
982009,非洲,Africa,利比里亚,Liberia,利比里亚,Liberia,利比里亚,6,6,0,0,0,
981003,非洲,Africa,利比亚,Libya,利比亚,Libya,利比亚,10,10,0,0,0,
981001,非洲,Africa,阿尔及利亚,Algeria,阿尔及利亚,Algeria,阿尔及利亚,731,847,0,58,58,
0,非洲,Africa,刚果（布）,,刚果（布）,,刚果（布）,17,22,0,2,3,
982017,非洲,Africa,佛得角,,佛得角,,佛得角,3,5,0,1,1,
982010,非洲,Africa,马里,Mali,马里,Mali,马里,28,31,0,0,3,
985006,非洲,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,卢旺达,82,82,0,0,0,
0,非洲,Africa,布隆迪共和国,,布隆迪共和国,,布隆迪共和国,2,2,0,0,0,
982008,非洲,Africa,几内亚比绍,,几内亚比绍,,几内亚比绍,9,9,0,0,0,
985009,非洲,Africa,坦桑尼亚,Tanzania,坦桑尼亚,Tanzania,坦桑尼亚,17,20,0,2,1,
982003,非洲,Africa,乍得,Chad,乍得,Chad,乍得,7,7,0,0,0,
985007,非洲,Africa,塞舌尔,Seychelles,塞舌尔,Seychelles,塞舌尔,10,10,0,0,0,
984009,非洲,Africa,纳米比亚,Namibia,纳米比亚,Namibia,纳米比亚,13,13,0,0,0,
985003,非洲,Africa,厄立特里亚,,厄立特里亚,,厄立特里亚,18,18,0,0,0,
982001,非洲,Africa,贝宁,Benin,贝宁,Benin,贝宁,12,13,0,1,0,
983002,非洲,Africa,中非共和国,Central African Republic,中非共和国,Central African Republic,中非共和国,6,6,0,0,0,
985010,非洲,Africa,乌干达,Uganda,乌干达,Uganda,乌干达,44,44,0,0,0,
985008,非洲,Africa,索马里,Somali,索马里,Somali,索马里,5,5,0,0,0,
0,非洲,Africa,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,The Republic of Equatorial Guinea,赤道几内亚,14,15,0,1,0,
981005,非洲,Africa,苏丹,Sudan,苏丹,Sudan,苏丹,5,7,0,0,2,
982015,非洲,Africa,塞拉利昂,Sierra Leone,塞拉利昂,Sierra Leone,塞拉利昂,2,2,0,0,0,
984005,非洲,Africa,马达加斯加,Madagascar,马达加斯加,Madagascar,马达加斯加,57,57,0,0,0,
982005,非洲,Africa,冈比亚,Gambia,冈比亚,Gambia,冈比亚,3,4,0,0,1,
984013,非洲,Africa,津巴布韦,Zimbabwe,津巴布韦,Zimbabwe,津巴布韦,7,8,0,0,1,
984008,非洲,Africa,莫桑比克,Mozambique,莫桑比克,Mozambique,莫桑比克,10,10,0,0,0,
984001,非洲,Africa,安哥拉,Angola,安哥拉,Angola,安哥拉,5,8,0,1,2,
984002,非洲,Africa,博茨瓦纳,Botswana,博茨瓦纳,Botswana,博茨瓦纳,3,4,0,0,1,
0,非洲,Africa,留尼汪,Reunion Island,留尼汪,Reunion Island,留尼汪,6,6,0,0,0,
