省份,地区,确诊,治愈,死亡
北京,境外输入人员,157.0,15,0.0
北京,东城区,14.0,1,0.0
北京,西城区,53.0,0,0.0
北京,朝阳区,72.0,0,0.0
北京,海淀区,64.0,0,0.0
北京,丰台区,43.0,3,0.0
北京,石景山区,14.0,9,0.0
北京,门头沟区,3.0,2,0.0
北京,房山区,16.0,3,0.0
北京,通州区,19.0,1,0.0
北京,顺义区,10.0,10,0.0
北京,昌平区,29.0,10,0.0
北京,大兴区,39.0,16,0.0
北京,怀柔区,7.0,0,0.0
北京,密云区,7.0,0,0.0
北京,延庆区,1.0,0,0.0
北京,外地来京人员,25.0,2,0.0
湖北,武汉,50006.0,44969,2538.0
湖北,黄冈,2907.0,2782,125.0
湖北,孝感,3518.0,3389,128.0
湖北,荆门,928.0,887,40.0
湖北,咸宁,836.0,821,15.0
湖北,荆州,1580.0,1528,52.0
湖北,襄阳,1175.0,1135,39.0
湖北,随州,1307.0,1262,45.0
湖北,十堰,672.0,664,8.0
湖北,鄂州,1394.0,1332,59.0
湖北,黄石,1015.0,976,39.0
湖北,宜昌,931.0,895,36.0
湖北,恩施州,252.0,245,7.0
湖北,仙桃,575.0,552,22.0
湖北,天门,496.0,481,15.0
湖北,潜江,198.0,188,9.0
湖北,神农架林区,11.0,11,0.0
广东,深圳,446.0,416,3.0
广东,广州,414.0,342,1.0
广东,东莞,100.0,99,1.0
广东,珠海,102.0,97,1.0
广东,佛山,92.0,84,0.0
广东,中山,68.0,66,0.0
广东,惠州,62.0,62,0.0
广东,汕头,25.0,25,0.0
广东,江门,23.0,23,0.0
广东,湛江,24.0,22,0.0
广东,肇庆,20.0,18,1.0
广东,梅州,17.0,16,0.0
广东,茂名,14.0,14,0.0
广东,阳江,14.0,14,0.0
广东,清远,12.0,12,0.0
广东,韶关,10.0,9,1.0
广东,揭阳,9.0,8,0.0
广东,汕尾,5.0,5,0.0
广东,潮州,6.0,5,0.0
广东,河源,4.0,4,0.0
浙江,杭州,181.0,181,0.0
浙江,宁波,157.0,157,0.0
浙江,温州,504.0,503,1.0
浙江,湖州,10.0,10,0.0
浙江,嘉兴,46.0,45,0.0
浙江,绍兴,42.0,42,0.0
浙江,金华,55.0,55,0.0
浙江,衢州,14.0,14,0.0
浙江,舟山,10.0,10,0.0
浙江,台州,146.0,146,0.0
浙江,丽水,17.0,17,0.0
浙江,省十里丰监狱,36.0,36,0.0
浙江,境外输入,33.0,9,0.0
河南,信阳市,274.0,272,2.0
河南,南阳市,156.0,153,3.0
河南,郑州市,157.0,152,5.0
河南,驻马店市,139.0,139,0.0
河南,商丘市,91.0,88,3.0
河南,周口市,76.0,75,1.0
河南,平顶山市,58.0,57,1.0
河南,新乡市,57.0,54,3.0
河南,安阳市,53.0,53,0.0
河南,许昌市,39.0,38,1.0
河南,漯河市,35.0,35,0.0
河南,焦作市,32.0,31,1.0
河南,洛阳市,31.0,30,1.0
河南,开封市,26.0,26,0.0
河南,鹤壁市,19.0,19,0.0
河南,濮阳市,17.0,17,0.0
河南,三门峡市,7.0,6,1.0
河南,济源示范区,5.0,5,0.0
河南,境外输入,3.0,1,0.0
湖南,长沙市,242.0,240,2.0
湖南,衡阳市,48.0,48,0.0
湖南,株洲市,80.0,80,0.0
湖南,湘潭市,36.0,36,0.0
湖南,邵阳市,102.0,101,1.0
湖南,岳阳市,156.0,155,1.0
湖南,常德市,82.0,82,0.0
湖南,张家界市,5.0,5,0.0
湖南,益阳市,60.0,60,0.0
湖南,郴州市,39.0,39,0.0
湖南,永州市,44.0,44,0.0
湖南,怀化市,40.0,40,0.0
湖南,娄底市,76.0,76,0.0
湖南,湘西自治州,8.0,8,0.0
重庆,万州,118.0,114,4.0
重庆,境外输入,2.0,0,0.0
重庆,黔江,2.0,2,0.0
重庆,涪陵,5.0,5,0.0
重庆,渝中,20.0,20,0.0
重庆,大渡口,7.0,7,0.0
重庆,江北,28.0,28,0.0
重庆,沙坪坝,9.0,9,0.0
重庆,九龙坡,21.0,20,1.0
重庆,南岸,15.0,15,0.0
重庆,渝北,17.0,17,0.0
重庆,巴南,6.0,6,0.0
重庆,长寿,22.0,22,0.0
重庆,江津,4.0,4,0.0
重庆,合川,23.0,23,0.0
重庆,永川,5.0,5,0.0
重庆,綦江,23.0,23,0.0
重庆,大足,14.0,14,0.0
重庆,璧山,9.0,9,0.0
重庆,铜梁,10.0,10,0.0
重庆,潼南,18.0,18,0.0
重庆,荣昌,9.0,9,0.0
重庆,开州,21.0,20,1.0
重庆,梁平,4.0,4,0.0
重庆,武隆,1.0,1,0.0
重庆,城口,2.0,2,0.0
重庆,丰都,10.0,10,0.0
重庆,垫江,20.0,20,0.0
重庆,忠县,21.0,21,0.0
重庆,云阳,25.0,25,0.0
重庆,奉节,22.0,22,0.0
重庆,巫山,10.0,10,0.0
重庆,巫溪,14.0,14,0.0
重庆,石柱,15.0,15,0.0
重庆,秀山,1.0,1,0.0
重庆,酉阳,1.0,1,0.0
重庆,彭水,2.0,2,0.0
重庆,两江新区,17.0,17,0.0
重庆,高新区,4.0,4,0.0
重庆,万盛,1.0,1,0.0
安徽,阜阳,155.0,155,0.0
安徽,合肥,174.0,173,1.0
安徽,马鞍山,38.0,38,0.0
安徽,芜湖,34.0,34,0.0
安徽,铜陵,29.0,29,0.0
安徽,安庆,83.0,83,0.0
安徽,亳州,108.0,108,0.0
安徽,黄山,9.0,9,0.0
安徽,滁州,13.0,13,0.0
安徽,六安,69.0,69,0.0
